fold_id,train_start,train_end,cal_start,cal_end,test_start,test_end,strategy,total_profit,terminal_value,total_profit_with_terminal,max_drawdown,max_equity_drawdown,grid_throughput_kwh,equivalent_cycles,profit_per_cycle,profit_drawdown_ratio
19,2024-07-25,2024-10-23,2024-10-23,2024-11-06,2024-11-06,2024-11-13,baseline,109.50789758333343,0.0,109.50789758333343,0.0,59.33563978703704,1225.5967078189303,6.127983539094652,17.87013572812438,1.8455669809303623
19,2024-07-25,2024-10-23,2024-10-23,2024-11-06,2024-11-06,2024-11-13,conformal,-57.44512949244933,17.130902793081084,-40.31422669936825,58.19798324244934,111.11083479862984,1129.9313697257949,5.649656848628974,-10.167897100934507,-0.517007451132549
20,2024-08-24,2024-11-22,2024-11-22,2024-12-06,2024-12-06,2024-12-13,baseline,95.40698320694446,0.0,95.40698320694446,0.0,24.81303722222221,1220.755144032922,6.10377572016461,15.630814037245042,3.8450344612186087
20,2024-08-24,2024-11-22,2024-11-22,2024-12-06,2024-12-06,2024-12-13,conformal,-50.216253408806324,15.420074608488216,-34.79617880031811,50.785908714745915,73.94282850339187,954.4372870247917,4.772186435123959,-10.522693128501368,-0.6791227009459454
21,2024-09-23,2024-12-22,2024-12-22,2025-01-05,2025-01-05,2025-01-12,baseline,45.36570492361112,0.0,45.36570492361112,0.0,22.43181874999999,641.8158436213992,3.2090792181069956,14.136673431942233,2.0223819311847433
21,2024-09-23,2024-12-22,2024-12-22,2025-01-05,2025-01-05,2025-01-12,conformal,-32.61296171106905,10.630440381560472,-21.982521329508575,32.76662475245223,35.73663986353178,972.8463558538402,4.864231779269201,-6.70464796724156,-0.9125917219864211
22,2024-10-23,2025-01-21,2025-01-21,2025-02-04,2025-02-04,2025-02-11,baseline,52.90864717314811,1.6396508333333355,54.548298006481446,0.0,18.80023393518519,713.7078189300412,3.568539094650206,14.826416572671542,2.8142547244653175
22,2024-10-23,2025-01-21,2025-01-21,2025-02-04,2025-02-04,2025-02-11,conformal,-24.59778787737136,6.917427395755094,-17.680360481616265,24.618773852188752,59.27127083808652,956.8343346159415,4.784171673079708,-5.141493566332886,-0.4150035511228708
23,2024-11-22,2025-02-20,2025-02-20,2025-03-06,2025-03-06,2025-03-13,baseline,58.625391104166724,0.0,58.625391104166724,0.10764916666666666,18.691851851851858,594.7968106995886,2.973984053497943,19.71274561314902,3.1364142819459877
23,2024-11-22,2025-02-20,2025-02-20,2025-03-06,2025-03-06,2025-03-13,conformal,-17.73341101566298,8.963611156550353,-8.769799859112627,18.287979238172973,53.0432116712996,1010.9112349707871,5.054556174853936,-3.5084012131244013,-0.3343200846425764
24,2024-12-22,2025-03-22,2025-03-22,2025-04-05,2025-04-05,2025-04-12,baseline,84.97040372638895,0.0,84.97040372638895,0.13475083333332805,13.098579999999998,1057.5385802469136,5.287692901234568,16.06946645985248,6.486993531084206
24,2024-12-22,2025-03-22,2025-03-22,2025-04-05,2025-04-05,2025-04-12,conformal,-44.61181406625037,7.07536351829545,-37.536450547954914,45.090323028809074,104.68264524577387,827.5825635820456,4.1379128179102285,-10.781235861992059,-0.426162464289193
